subassembly,fabrication_class,part_id,file_name,path,size_bytes,sha256
500,ALU_7075,ASV1_500_25A,ASV1_500_25A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_25A.STEP,228916,cdb0cf818424a2648ed50312ede0f18a52224c6ef7687edb40e96f56e4de45e1
500,ALU_7075,ASV1_500_36A,ASV1_500_36A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_36A.STEP,220101,bb404d090ebfce190f14dc11fd3813388eff47c5eb552fefcac0b2b93cbd0e3e
500,SML_316L,ASV1_500_01B,ASV1_500_01B.STEP,mechanical/ASV1/500/FABRICATION/SML_316L/ASV1_500_01B.STEP,1054742,813bd80f0287d014f79d99b072715478c393311e9dcc53197eba542a12b57471
500,SML_316L,ASV1_500_17B,ASV1_500_17B.STEP,mechanical/ASV1/500/FABRICATION/SML_316L/ASV1_500_17B.STEP,109372,ce358d2af264114538adb757962f063ff99a5a1f9c2d711087cb7e540b859978
500,SML_316L,ASV1_500_18B,ASV1_500_18B.STEP,mechanical/ASV1/500/FABRICATION/SML_316L/ASV1_500_18B.STEP,109372,ce358d2af264114538adb757962f063ff99a5a1f9c2d711087cb7e540b859978
500,SML_316L,ASV1_500_26B,ASV1_500_26B.STEP,mechanical/ASV1/500/FABRICATION/SML_316L/ASV1_500_26B.STEP,648967,e2ac656f47f11cd81110e53309c0e32540a7059495d205268d816ffaa8803a8b
500,MJF_PA12,ASV1_500_03C,ASV1_500_03C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_03C.STEP,6102161,0d7653ac2c9a6fae11aa015829bb3495b9b5d709eb688fa26ee2c7e920cac001
500,MJF_PA12,ASV1_500_04C,ASV1_500_04C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_04C.STEP,4824574,bdfdf31f363681e4b9a587a3a1662779d39084c8469979b9393d50c83d178db7
500,MJF_PA12,ASV1_500_10C,ASV1_500_10C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_10C.STEP,5159247,a623d6f59aa5635fdb1dfe18c4a440f7de94903969968b0963429e71a4bc01cf
500,MJF_PA12,ASV1_500_13C,ASV1_500_13C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_13C.STEP,2237564,525daf8a2cf4f48fb7eec66fa8504f27da1ca93bb38a7b78c7dc764914c00da2
500,MJF_PA12,ASV1_500_14C,ASV1_500_14C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_14C.STEP,1614691,2441fc888a6c384046161bad087d3d8b3e92e19b37ab25ab53d00a5d8028d892
500,MJF_PA12,ASV1_500_37C,ASV1_500_37C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_37C.STEP,3489405,62db8a53895f70d77db97d6b1e3f33c1ca268af727dccee905ab488c44a4e3bb
500,MJF_PA12,ASV1_500_38C,ASV1_500_38C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_38C.STEP,1048293,62e1f707955c63b421d95b0fe5dfb063871d0b8e033a5f9086cd58dcdbe99029
500,MJF_PA12,ASV1_500_39C,ASV1_500_39C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_39C.STEP,970632,52cb3e620b17dc7806bbe783e076cd6f06b4144c6a00f6ae665e79877d02a110
500,MJF_PA12,ASV1_500_40C,ASV1_500_40C.STEP,mechanical/ASV1/500/FABRICATION/MJF_PA12/ASV1_500_40C.STEP,490021,9916a5180d369da3c8c1aa187c5f02a13462c5fa2ac5af15fc1fd1a9f372acc2
500,OFF_THE_SHELF,ASV1_500_02X,ASV1_500_02X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_02X.STEP,66256,b9eeebc9871878875696bfbad1e51534a5a7f9a15f5c9ef48351ed445aae74c1
500,OFF_THE_SHELF,ASV1_500_07X,ASV1_500_07X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_07X.STEP,23112,304d875f7bb7522d11609c0b610c6f761a6cd438efea3381f8af517f6e69b906
500,OFF_THE_SHELF,ASV1_500_11X,ASV1_500_11X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_11X.STEP,149546,036016b36fae1defd4b3c3223c2090d21eaea3519af7665da38d9d23998ce9d2
500,OFF_THE_SHELF,ASV1_500_15X,ASV1_500_15X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_15X.STEP,23056,4749c76a422d5fda241443ae35fc46c91cda57d518a1c6f7fcb76310fb6367bf
500,OFF_THE_SHELF,ASV1_500_16X,ASV1_500_16X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_16X.STEP,23056,4749c76a422d5fda241443ae35fc46c91cda57d518a1c6f7fcb76310fb6367bf
500,OFF_THE_SHELF,ASV1_500_19X,ASV1_500_19X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_19X.STEP,647542,fe65362ae1b5cc55530fadf9cfee1b7d00922cb1a3ef4f053f5f6d0a4209a8f2
